ingredient_id,recipe_id,name,quantity,unit
aloo_gobi_ing_0,aloo_gobi,Potatoes,2.0,pcs
aloo_gobi_ing_1,aloo_gobi,Cauliflower,1.0,head
aloo_gobi_ing_2,aloo_gobi,Turmeric,0.5,tsp
aloo_gobi_ing_3,aloo_gobi,Coriander Powder,1.0,tsp
chana_masala_ing_0,chana_masala,Chickpeas,1.5,cups
chana_masala_ing_1,chana_masala,Onion,2.0,pcs
chana_masala_ing_2,chana_masala,Chana Masala Powder,2.0,tbsp
chana_masala_ing_3,chana_masala,Ginger Garlic Paste,1.0,tbsp
chicken_tikka_ing_0,chicken_tikka,Chicken Breast,500.0,g
chicken_tikka_ing_1,chicken_tikka,Yogurt,1.0,cup
chicken_tikka_ing_2,chicken_tikka,Tikka Masala,2.0,tbsp
chicken_tikka_ing_3,chicken_tikka,Lemon Juice,1.0,tbsp
egg_bhurji_ing_0,egg_bhurji,Eggs,4.0,pcs
egg_bhurji_ing_1,egg_bhurji,Onion,2.0,pcs
egg_bhurji_ing_2,egg_bhurji,Green Chili,2.0,pcs
egg_bhurji_ing_3,egg_bhurji,Coriander,1.0,tbsp
fish_curry_ing_0,fish_curry,Fish Fillet,500.0,g
fish_curry_ing_1,fish_curry,Coconut Milk,1.5,cups
fish_curry_ing_2,fish_curry,Tamarind Paste,1.0,tbsp
fish_curry_ing_3,fish_curry,Curry Leaves,6.0,pcs
idli_ing_1,idli_sambar,Parboiled rice,2.0,cups
idli_ing_2,idli_sambar,Urad dal,1.0,cup
idli_ing_3,idli_sambar,Fenugreek seeds,1.0,tsp
idli_ing_4,idli_sambar,Salt,1.0,tsp
idli_ing_5,idli_sambar,Toor dal,0.5,cup
idli_ing_6,idli_sambar,Sambar powder,2.0,tbsp
lemon_rice_ing_0,lemon_rice,Cooked Rice,3.0,cups
lemon_rice_ing_1,lemon_rice,Lemon Juice,2.0,tbsp
lemon_rice_ing_2,lemon_rice,Peanuts,2.0,tbsp
lemon_rice_ing_3,lemon_rice,Turmeric,0.5,tsp
masoor_dal_tadka_ing_0,masoor_dal_tadka,Masoor Dal,1.0,cup
masoor_dal_tadka_ing_1,masoor_dal_tadka,Onion,1.0,pc
masoor_dal_tadka_ing_2,masoor_dal_tadka,Tomato,1.0,pc
masoor_dal_tadka_ing_3,masoor_dal_tadka,Cumin Seeds,1.0,tsp
mushroom_masala_ing_0,mushroom_masala,Mushrooms,200.0,g
mushroom_masala_ing_1,mushroom_masala,Onion,2.0,pcs
mushroom_masala_ing_2,mushroom_masala,Tomato,1.0,pc
mushroom_masala_ing_3,mushroom_masala,Garam Masala,1.0,tsp
palak_paneer_ing_0,palak_paneer,Spinach,2.0,bunches
palak_paneer_ing_1,palak_paneer,Paneer,200.0,g
palak_paneer_ing_2,palak_paneer,Garlic,4.0,cloves
palak_paneer_ing_3,palak_paneer,Green Chili,2.0,pcs
paneer_butter_masala_ing_0,paneer_butter_masala,Paneer,250.0,g
paneer_butter_masala_ing_1,paneer_butter_masala,Butter,2.0,tbsp
paneer_butter_masala_ing_2,paneer_butter_masala,Tomato Puree,1.0,cup
paneer_butter_masala_ing_3,paneer_butter_masala,Fresh Cream,0.5,cup
poha_ing_0,poha,Thick Poha,2.0,cups
poha_ing_1,poha,Onion,1.0,pc
poha_ing_2,poha,Mustard Seeds,1.0,tsp
poha_ing_3,poha,Peanuts,2.0,tbsp
rajma_chawal_ing_0,rajma_chawal,Kidney Beans,1.5,cups
rajma_chawal_ing_1,rajma_chawal,Onion,2.0,pcs
rajma_chawal_ing_2,rajma_chawal,Tomato Puree,1.0,cup
rajma_chawal_ing_3,rajma_chawal,Rajma Masala,2.0,tbsp
rava_upma_ing_0,rava_upma,Rava (Semolina),1.0,cup
rava_upma_ing_1,rava_upma,Mustard Seeds,1.0,tsp
rava_upma_ing_2,rava_upma,Curry Leaves,5.0,pcs
rava_upma_ing_3,rava_upma,Onion,1.0,pc
spaghetti_aglio_e_olio_ing_0,spaghetti_aglio_e_olio,Spaghetti,200.0,g
spaghetti_aglio_e_olio_ing_1,spaghetti_aglio_e_olio,Garlic,6.0,cloves
spaghetti_aglio_e_olio_ing_2,spaghetti_aglio_e_olio,Olive Oil,0.25,cup
spaghetti_aglio_e_olio_ing_3,spaghetti_aglio_e_olio,Chili Flakes,1.0,tsp
tomato_soup_ing_0,tomato_soup,Tomatoes,6.0,pcs
tomato_soup_ing_1,tomato_soup,Garlic,4.0,cloves
tomato_soup_ing_2,tomato_soup,Butter,1.0,tbsp
tomato_soup_ing_3,tomato_soup,Black Pepper,0.5,tsp
veg_fried_rice_ing_0,veg_fried_rice,Basmati Rice,2.0,cups
veg_fried_rice_ing_1,veg_fried_rice,Carrots,1.0,pc
veg_fried_rice_ing_2,veg_fried_rice,Beans,0.5,cup
veg_fried_rice_ing_3,veg_fried_rice,Soy Sauce,1.0,tbsp
vegetable_biryani_ing_0,vegetable_biryani,Basmati Rice,2.0,cups
vegetable_biryani_ing_1,vegetable_biryani,Mixed Veggies,1.5,cups
vegetable_biryani_ing_2,vegetable_biryani,Yogurt,0.5,cup
vegetable_biryani_ing_3,vegetable_biryani,Fried Onions,0.5,cup
vegetable_pulao_ing_0,vegetable_pulao,Basmati Rice,1.5,cups
vegetable_pulao_ing_1,vegetable_pulao,Peas,0.5,cup
vegetable_pulao_ing_2,vegetable_pulao,Carrots,0.5,cup
vegetable_pulao_ing_3,vegetable_pulao,Whole Spices,1.0,tbsp
