recipe_id,step_no,instruction,duration_minutes
aloo_paratha,1,Prepare dough,5
aloo_paratha,2,Boil and mash potatoes,5
aloo_paratha,3,Stuff parathas,5
aloo_paratha,4,Cook on tawa with ghee,5
chicken_biryani,1,Marinate chicken,11
chicken_biryani,2,Parboil rice,11
chicken_biryani,3,Layer rice and chicken,11
chicken_biryani,4,Cook on dum,11
cutlet,1,Make mixture,5
cutlet,2,Shape cutlets,5
cutlet,3,Shallow fry,5
dal_tadka,1,Boil dal,6
dal_tadka,2,Prepare tadka,6
dal_tadka,3,Mix and simmer,6
fish_fry,1,Marinate fish,5
fish_fry,2,Shallow fry,5
gulab_jamun,1,Prepare dough,6
gulab_jamun,2,Fry balls,6
gulab_jamun,3,Dip into sugar syrup,6
idiyappam,1,Prepare dough,5
idiyappam,2,Press into noodles,5
idiyappam,3,Steam,5
idli_sambar,1,Wash idli rice 2–3 times and soak for 4–5 hours.,5
idli_sambar,2,Wash urad dal + fenugreek seeds and soak for 4 hours.,5
idli_sambar,3,Grind soaked urad dal with little water until fluffy.,10
idli_sambar,4,Grind soaked rice to slightly coarse paste.,10
idli_sambar,5,Mix both pastes with salt until combined.,5
idli_sambar,6,Ferment batter 8–12 hours.,480
idli_sambar,7,Heat idli steamer with water.,2
idli_sambar,8,Grease idli plates lightly with oil.,1
idli_sambar,9,Pour batter ¾th into moulds.,2
idli_sambar,10,Steam idlis 10–12 minutes.,12
idli_sambar,11,Cool and remove idlis.,3
idli_sambar,12,"Add toor dal, 2 cups water, turmeric to pressure cooker.",2
idli_sambar,13,Pressure cook 3–4 whistles.,15
idli_sambar,14,Mash cooked dal.,2
idli_sambar,15,"Boil onion, tomato, carrot, drumstick, chilli.",15
idli_sambar,16,Add salt and soften vegetables.,15
idli_sambar,17,Add mashed dal to vegetables.,1
idli_sambar,18,"Add sambar powder, tamarind water, jaggery.",2
idli_sambar,19,Simmer 10 minutes on low flame.,10
idli_sambar,20,Heat oil; add mustard seeds to crackle.,2
idli_sambar,21,"Add cumin, curry leaves, red chilli, hing.",1
idli_sambar,22,Pour tempering into sambar.,1
idli_sambar,23,Boil sambar 1–2 minutes.,2
khichdi,1,Pressure cook all ingredients,10
khichdi,2,Add ghee & serve,10
mango_shake,1,Blend all ingredients,5
mango_shake,2,Serve chilled,5
masala_dosa,1,Prepare masala stuffing,5
masala_dosa,2,Spread dosa on tawa,5
masala_dosa,3,Add stuffing,5
masala_dosa,4,Fold and roast,5
paneer_butter_masala,1,Blend tomatoes to puree,6
paneer_butter_masala,2,Cook puree with spices,6
paneer_butter_masala,3,Add paneer cubes,6
paneer_butter_masala,4,Finish with cream and butter,6
pav_bhaji,1,Boil vegetables,8
pav_bhaji,2,Mash well,8
pav_bhaji,3,Cook with masala + butter,8
poha,1,Rinse poha,5
poha,2,Cook onion + spices,5
poha,3,Add poha,5
upma,1,Roast rava,5
upma,2,Cook vegetables,5
upma,3,Mix with water + spices,5
veg_fried_rice,1,Boil rice and cool completely,5
veg_fried_rice,2,Chop vegetables finely,5
veg_fried_rice,3,Stir fry vegetables on high flame,5
veg_fried_rice,4,"Add rice, soy sauce, mix well",5
